bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,receiptId,rec_createDate,rec_ScannedDate,rec_finishedDate,rec_modifyDate,pointsAwardedDate,purchaseDate,receipt_ids
5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,1.00,5ff36d0362fde912123a5535,5ff36da00a7214ada100059b,1970-01-01 00:26:49.788832000,1970-01-01 00:26:49.788832000,1970-01-01 00:26:49.788832000,1970-01-01 00:26:49.788832000,1970-01-01 00:26:49.788832000,1970-01-01 00:26:49.702432000,37
5.0,All-receipts receipt bonus,355.0,9.0,FINISHED,89.91,5ff36d0362fde912123a5535,5ff36dc40a7214ada100059f,1970-01-01 00:26:49.788868000,1970-01-01 00:26:49.788868000,1970-01-01 00:26:49.788868000,1970-01-01 00:26:49.788868000,1970-01-01 00:26:49.788868000,1970-01-01 00:26:49.702468000,38
100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",600.0,9.0,FINISHED,89.91,5ff370c562fde912123a5e0e,5ff3710b0a7214ada10005a7,1970-01-01 00:26:49.789707000,1970-01-01 00:26:49.789707000,1970-01-01 00:26:49.789708000,1970-01-01 00:26:49.789708000,1970-01-01 00:26:49.789708000,1970-01-01 00:26:49.703307000,39
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1750.0,1.0,FINISHED,10.00,5ff36d78135e7011bcb86488,5ff36d780a7214ada1000593,1970-01-01 00:26:49.788792000,1970-01-01 00:26:49.788792000,1970-01-01 00:26:49.788794000,1970-01-01 00:26:49.788794000,1970-01-01 00:26:49.788794000,1970-01-01 00:26:49.788792000,40
45.0,COMPLETE_PARTNER_RECEIPT,350.0,1.0,FINISHED,1.00,5ff370c562fde912123a5e0e,5ff371410a7214ada10005ba,1970-01-01 00:26:49.789761000,1970-01-01 00:26:49.789761000,1970-01-01 00:26:49.789761000,1970-01-01 00:26:49.789761000,1970-01-01 00:26:49.789761000,1970-01-01 00:26:49.703361000,41
5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,1.00,54943462e4b07e684157a532,5ff36c8b0a720f05230005a1,1970-01-01 00:26:49.788555000,1970-01-01 00:26:49.788555000,1970-01-01 00:26:49.788557000,1970-01-01 00:26:49.788557000,1970-01-01 00:26:49.788557000,1970-01-01 00:26:49.702155000,42
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,5.0,FINISHED,25.00,5ff36be7135e7011bcb856d3,5ff36c550a7214ada1000588,1970-01-01 00:26:49.788501000,1970-01-01 00:26:49.788501000,1970-01-01 00:26:49.788501000,1970-01-01 00:26:49.788501000,1970-01-01 00:26:49.788501000,1970-01-01 00:26:49.480800000,43
5.0,All-receipts receipt bonus,55.0,9.0,FINISHED,89.91,5ff36a3862fde912123a4460,5ff36acb0a720f052300058d,1970-01-01 00:26:49.788107000,1970-01-01 00:26:49.788107000,1970-01-01 00:26:49.788108000,1970-01-01 00:26:49.788108000,1970-01-01 00:26:49.788108000,1970-01-01 00:26:49.701707000,44
5.0,All-receipts receipt bonus,5.0,5.0,FINISHED,49.95,5ff370c562fde912123a5e0e,5ff371450a7214ada10005bd,1970-01-01 00:26:49.789765000,1970-01-01 00:26:49.789765000,1970-01-01 00:26:49.789766000,1970-01-01 00:26:49.789766000,1970-01-01 00:26:49.789766000,1970-01-01 00:26:48.789600000,45
100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",225.0,5.0,FINISHED,25.00,5ff36d0362fde912123a5535,5ff36d9d0a720f05230005aa,1970-01-01 00:26:49.788829000,1970-01-01 00:26:49.788829000,1970-01-01 00:26:49.788829000,1970-01-01 00:26:49.788829000,1970-01-01 00:26:49.788829000,1970-01-01 00:26:49.480800000,46
